"Austen_Northanger.txt"	"Austen_Persuasion.txt"	"Austen_Pride.txt"	"Austen_Sense.txt"	"CBronte_Jane.txt"	"Dickens_Hard.txt"	"EEE_Adam.txt"
"still"	0.0646822162714583	0.0876161213663314	0.0591463214273979	0.0836141374783648	0.130930622802236	0.0751061596679923	0.0852487270604478
"why"	0.0491584843663083	0.0240044168126935	0.0427167876975651	0.0409709273643988	0.0550443026474706	0.0837722550142991	0.0833954938634816
"thing"	0.0582139946443125	0.0492090544660218	0.0345020208326488	0.154686154334975	0.0411496243092742	0.0394788787998421	0.0759825610756165
"told"	0.0478648400408792	0.0312057418565016	0.056681891367923	0.0576937548600717	0.0443560885411657	0.0385159793169191	0.054207071011263
"even"	0.0970233244071875	0.0852156796850621	0.0673610882923143	0.104517671847956	0.0641292846378299	0.0731803607021463	0.0643998535945774
"mother"	0.0478648400408792	0.0384070669003097	0.0903624355140801	0.169736699081081	0.0224452496232405	0.0385159793169191	0.11536376651115
"once"	0.0556267059934542	0.0684125879161766	0.0468241711300233	0.06187446173399	0.0994003911886363	0.0635513658729165	0.0523538378142968
"world"	0.0866741698037542	0.0420077294222137	0.0542174613084481	0.0777611478548793	0.0411496243092742	0.044293376214457	0.0398445137347745
"put"	0.0426902627391625	0.037206846059675	0.0254657772812408	0.0359540791156969	0.0732142666281891	0.0779948581167612	0.0889551934543804
"quite"	0.112547056312337	0.134424734151084	0.0788617619031972	0.0777611478548793	0.0753519094494501	0.0818464560484531	0.0833954938634816
"done"	0.0504521286917375	0.0888163422069661	0.0755758551572306	0.059366037609639	0.0406152136039589	0.0635513658729165	0.0787624108710659
"friend"	0.122896210915771	0.0924170047288701	0.0854335753951303	0.0443154928635334	0.012825856927566	0.0462191751803029	0.0296517311514601
"another"	0.0763250152003208	0.078014354641254	0.047645647816515	0.0643828858583409	0.0603884097006231	0.0962899482922978	0.0602300789014034
"whom"	0.0569203503188833	0.0420077294222137	0.0690040416652975	0.0576937548600717	0.0331334637295454	0.0539223710436868	0.0375279722385667
"look"	0.0840868811528958	0.0672123670755419	0.0468241711300233	0.0568576134852881	0.0817648379132331	0.086660953463068	0.134822715079295
"woman"	0.0439839070645917	0.0708130295974459	0.0451812177570401	0.0568576134852881	0.0443560885411657	0.088586752428914	0.0884918851551388
"having"	0.106078834685192	0.11042031733839	0.0788617619031972	0.0484961997374516	0.0454249099517962	0.0481449741461489	0.0366013556400836
"its"	0.130658076868346	0.0864159005256967	0.0862550520816219	0.111206802846225	0.170477014995564	0.111696340019065	0.0718127863824425
